feature_id,layer,anchor_type,reference_source,reference_key,sequence,latitude,longitude,source_file,verification_state,notes
RWY_07_25_CENTERLINE,runway_centerlines,runway_threshold_pair,data/reference/rkpc_airport.json,runways[07],1,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,활주로 threshold pair에서 직접 생성.
RWY_07_25_CENTERLINE,runway_centerlines,runway_threshold_pair,data/reference/rkpc_airport.json,runways[25],2,33.514878,126.497642,public_derived_training_dataset,coordinate_verified,활주로 threshold pair에서 직접 생성.
RWY_13_31_CENTERLINE,runway_centerlines,runway_threshold_pair,data/reference/rkpc_airport.json,runways[13],1,33.515461,126.487394,public_derived_training_dataset,coordinate_verified,활주로 threshold pair에서 직접 생성.
RWY_13_31_CENTERLINE,runway_centerlines,runway_threshold_pair,data/reference/rkpc_airport.json,runways[31],2,33.505483,126.504014,public_derived_training_dataset,coordinate_verified,활주로 threshold pair에서 직접 생성.
ARR_25_DUKAL_TOKIN_WINDOW,handoff_reference,fix_segment,data/reference/rkpc_procedures.json,DUKAL,1,33.649611,126.760778,public_derived_training_dataset,coordinate_verified,공식 fix 좌표를 사용하는 handoff segment.
ARR_25_DUKAL_TOKIN_WINDOW,handoff_reference,fix_segment,data/reference/rkpc_procedures.json,TOKIN,2,33.606083,126.675611,public_derived_training_dataset,coordinate_verified,공식 fix 좌표를 사용하는 handoff segment.
RWY_07_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,LIMSO,1,33.417500,126.308611,public_derived_training_dataset,coordinate_verified,RNP/ILS final path 핵심 anchor만 사용.
RWY_07_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,TEWOO,2,33.454250,126.379861,public_derived_training_dataset,coordinate_verified,RNP/ILS final path 핵심 anchor만 사용.
RWY_07_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW070,3,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,RNP/ILS final path 핵심 anchor만 사용.
RWY_25_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,DUKAL,1,33.649611,126.760778,public_derived_training_dataset,coordinate_verified,25 도착 final path anchor.
RWY_25_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,TOKIN,2,33.606083,126.675611,public_derived_training_dataset,coordinate_verified,25 도착 final path anchor.
RWY_25_FINAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW250,3,33.514878,126.497642,public_derived_training_dataset,coordinate_verified,25 도착 final path anchor.
SID_KAMIT_2E_INITIAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_airport.json,runways[07],1,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,07 출발 initial guide.
SID_KAMIT_2E_INITIAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,PC811,2,33.703361,126.713556,public_derived_training_dataset,coordinate_verified,07 출발 initial guide.
SID_KAMIT_2E_INITIAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,OLLEH,3,33.961722,126.740694,public_derived_training_dataset,coordinate_verified,07 출발 initial guide.
SID_KAMIT_2E_INITIAL_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,KAMIT,4,34.253917,126.771583,public_derived_training_dataset,coordinate_verified,07 출발 initial guide.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,AKBIN,1,33.522639,126.248694,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D10.5 ICJU,2,33.409722,126.293556,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D5.3 ICJU,3,33.455139,126.381556,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D2.6 ICJU,4,33.478833,126.427583,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D1.3 ICJU,5,33.490222,126.449667,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_ILS_Y_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW070,6,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,ILS Y/LOC Y final fixes.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,AKBIN,1,33.522639,126.248694,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D12.0 YDM,2,33.402917,126.286694,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D8.4 YDM,3,33.435528,126.346917,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D6.3 YDM,4,33.454528,126.382056,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D4.5 YDM,5,33.470806,126.412194,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D2.4 YDM,6,33.489806,126.447389,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW070,7,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,VOR RWY 07 DME sequence.
RWY_07_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW070,1,33.499881,126.468472,public_derived_training_dataset,coordinate_verified,Missed approach published path.
RWY_07_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,PC404,2,33.545083,126.556500,public_derived_training_dataset,coordinate_verified,Missed approach published path.
RWY_07_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,PETAA,3,33.521667,126.926111,public_derived_training_dataset,coordinate_verified,Missed approach published path.
RWY_25_ILS_Y_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D10.8 YDM,1,33.603556,126.672806,public_derived_training_dataset,coordinate_verified,ILS Y/VOR RWY 25 final sequence.
RWY_25_ILS_Y_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D5.7 YDM,2,33.560111,126.585306,public_derived_training_dataset,coordinate_verified,ILS Y/VOR RWY 25 final sequence.
RWY_25_ILS_Y_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,D1.5 YDM,3,33.524222,126.513167,public_derived_training_dataset,coordinate_verified,ILS Y/VOR RWY 25 final sequence.
RWY_25_ILS_Y_VOR_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW250,4,33.514878,126.497642,public_derived_training_dataset,coordinate_verified,ILS Y/VOR RWY 25 final sequence.
RWY_25_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,RW250,1,33.514878,126.497642,public_derived_training_dataset,coordinate_verified,Missed approach published path.
RWY_25_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,PC403,2,33.379000,126.234167,public_derived_training_dataset,coordinate_verified,Missed approach published path.
RWY_25_MISSED_APPROACH_GUIDE,guide_routes,procedure_polyline,data/reference/rkpc_procedures.json,LOTKA,3,33.353083,126.114500,public_derived_training_dataset,coordinate_verified,Missed approach published path.
LBL_YDM,navaid,label_anchor,data/reference/rkpc_airport.json,YDM,1,33.511472,126.487611,public_derived_training_dataset,coordinate_verified,공식 navaid 좌표 기반 label anchor.
LBL_CJU,navaid,label_anchor,data/reference/rkpc_airport.json,CJU,1,33.384611,126.624111,public_derived_training_dataset,coordinate_verified,공식 navaid 좌표 기반 label anchor.
